,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
225,"Dominguez Perez, Leinier","Fedoseev, Vladimir",2750,2683,2019.05.18,blitz,0-1,B51
226,"Dominguez Perez, Leinier","Topalov, Veselin",2739,2740,2019.02.20,match (rapid),0-1,C45
227,"Volokitin, Andrei","Dominguez Perez, Leinier",2685,2661,2005.??.??,,0-1,C42
228,"Dominguez Perez, Leinier","Nakamura, Hikaru",2758,2736,2020.09.15,rapid,1/2-1/2,C67
229,"Mihajlov, Sebastian","Dominguez Perez, Leinier",2383,2763,2019.09.27,blitz,0-1,
230,"Baron Rodriguez, Jesus","Dominguez Perez, Leinier",2350,2215,1998.??.??,,0-1,B90
231,"Dominguez Perez, Leinier","Anand, Viswanathan",2732,2803,2015.10.14,blitz,1/2-1/2,A36
232,"Dominguez Perez, Leinier","Lysyj, Igor",2719,2629,2011.09.05,k.o.,1/2-1/2,C67
233,"Le, Quang Liem","Dominguez Perez, Leinier",2717,2723,2013.04.12,,1/2-1/2,E56
234,"Dominguez Perez, Leinier","De La Paz Perdomo, Frank",2505,2460,2000.??.??,tourn,1/2-1/2,C90
235,"Dominguez Perez, Leinier","Vachier Lagrave, Maxime",2713,2798,2016.07.17,swiss,1/2-1/2,D83
236,"Dominguez Perez, Leinier","Abreu Delgado, Aryam",2594,2480,2002.04.18,tourn,1-0,B41
237,"Adams, Michael","Dominguez Perez, Leinier",2712,2717,2009.01.19,,1/2-1/2,B87
238,"Dominguez Perez, Leinier","Giri, Anish",2754,2734,2014.01.11,tourn,1/2-1/2,C67
239,"Dominguez Perez, Leinier","Vazquez Igarza, Renier",2736,2581,2015.08.20,team-tourn,1-0,C42
240,"Dominguez Perez, Leinier","Leko, Peter",2757,2730,2014.04.09,team-swiss,1/2-1/2,C78
241,"Dominguez Perez, Leinier","Piesik, Piotr",2758,2396,2020.11.03,swiss,1-0,A44
242,"Ding, Liren","Dominguez Perez, Leinier",2766,2732,2016.03.02,swiss (rapid),1/2-1/2,D37
243,"Dominguez Perez, Leinier","Oral, Tomas",2508,2540,2000.05.16,tourn,1/2-1/2,B47
244,"Dominguez Perez, Leinier","Leyva Proenza, Richard",2556,2400,2001.04.11,tourn,1-0,C92
245,"Dominguez Perez, Leinier","Topalov, Veselin",2739,2740,2019.02.24,match (blitz),1/2-1/2,C65
246,"Topalov, Veselin","Dominguez Perez, Leinier",2740,2739,2019.02.24,match (blitz),0-1,A39
247,"Robson, Ray","Dominguez Perez, Leinier",2628,2757,2014.03.09,match (rapid),1/2-1/2,C92
248,"Dominguez Perez, Leinier","Harikrishna, Pentala",2534,2500,2000.11.12,team-swiss,1/2-1/2,C18
249,"Iturrizaga Bonelli, Eduardo","Dominguez Perez, Leinier",2650,2739,2018.02.03,,0-1,E05
250,"Nogueiras Santiago, Jesus","Dominguez Perez, Leinier",2554,2655,2006.11.25,,1/2-1/2,D14
251,"Tung, S.","Dominguez Perez, Leinier",1922,2712,2011.12.29,,0-1,B03
252,"Dominguez Perez, Leinier","Diez Alvarez, Alejandro",2610,2450,2003.08.23,swiss,1-0,B33
253,"Godena, Michele","Dominguez Perez, Leinier",2494,2556,2001.05.26,k.o.,0-1,B22
254,"Iljushin, Alexei","Dominguez Perez, Leinier",2528,2683,2007.11.25,,0-1,D80
