,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
202,"Aleskerov, Faik","So, Wesley",2315,2808,2017.02.22,,0-1,C47,7
203,"So, Wesley","Preotu, Razvan",2668,2291,2012.07.18,swiss,1-0,B35,5
204,"Wang, Hao","So, Wesley",2643,2531,2007.10.11,swiss,1-0,A39,8
205,"Duda, Jan Krzysztof","So, Wesley",2774,2741,2021.02.09,rapid,0-1,,4.3
206,"So, Wesley","Vachier Lagrave, Maxime",2767,2774,2019.11.19,,1/2-1/2,B13,2.30
207,"So, Wesley","Megaranto, Susanto",2669,2528,2010.11.15,,1-0,E16,4
208,"Anand, Viswanathan","So, Wesley",2760,2778,2018.06.01,tourn,1/2-1/2,A29,4
209,"Oussedik, Elias","So, Wesley",2155,2822,2017.03.25,,0-1,D35,4.1
210,"Nakamura, Hikaru","So, Wesley",2769,2778,2018.06.16,blitz,1-0,A04,18
211,"So, Wesley","Bancod, Ronald",2577,2375,2008.07.13,tourn,1-0,B16,17
212,"Aronian, Levon","So, Wesley",2785,2794,2016.12.11,swiss,1/2-1/2,A34,3
213,"So, Wesley","Topalov, Veselin",2812,2749,2017.06.24,tourn (rapid),1/2-1/2,D90,7
214,"So, Wesley","Dzhumaev, Marat",2577,2549,2008.09.01,,1-0,B04,9
215,"So, Wesley","Dubov, Daniil",2770,2710,2021.02.06,rapid,1-0,B30,3.1
216,"Spoelman, Wouter","So, Wesley",2547,2673,2011.01.23,tourn,0-1,E42,8
217,"So, Wesley","Radjabov, Teimour",2741,2758,2020.11.25,schev,0-1,,1.3
218,"So, Wesley","Akobian, Varuzhan",2822,2645,2017.04.04,tourn,1/2-1/2,D31,6
219,"Matlakov, Maxim","So, Wesley",2718,2792,2018.01.14,tourn,1/2-1/2,E04,2
220,"So, Wesley","Nguyen, Thanh Son",,,2010.07.26,,1/2-1/2,,7
221,"So, Wesley","Malakhov, Vladimir",2640,2706,2009.11.30,k.o.,1/2-1/2,D94,4.1
222,"Grischuk, Alexander","So, Wesley",2766,2780,2018.08.26,tourn,1/2-1/2,A02,8
223,"So, Wesley","Abdusattorov, Nodirbek",2770,2627,2020.11.08,schev,1-0,B12,1.23
224,"Layugan, Gabriel R","So, Wesley",,,2001.??.??,swiss,1-0,B90,6
225,"So, Wesley","Holt, Conrad",2762,2559,2014.12.03,,1-0,C03,3
226,"Torre, Eugenio","So, Wesley",2485,2682,2013.01.23,swiss,0-1,D03,2
227,"Shankland, Sam","So, Wesley",2691,2770,2020.09.21,,0-1,E00,1.8
228,"So, Wesley","Bluebaum, Matthias",2810,2646,2017.09.08,,1/2-1/2,D77,2.3
229,"Nakamura, Hikaru","So, Wesley",2829,2741,2020.05.26,,1/2-1/2,,1.9
230,"So, Wesley","Carlsen, Magnus",2770,2863,2020.09.18,blitz,1/2-1/2,C78,9.5
231,"Fressinet, Laurent","So, Wesley",2707,2673,2011.01.21,tourn,0-1,D90,6
