,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
237,"Aronian, Levon","Vachier Lagrave, Maxime",2739,2822,2020.12.02,,1-0,
238,"Rogers, Ian","Aronian, Levon",2594,2684,2005.01.03,,0-1,C67
239,"Giri, Anish","Aronian, Levon",2782,2767,2018.09.20,,1/2-1/2,C67
240,"Aronian, Levon","Caruana, Fabiano",2794,2784,2018.03.18,tourn,0-1,D39
241,"Aronian, Levon","Topalov, Veselin",2752,2801,2006.03.19,rapid,1-0,A03
242,"Aronian, Levon","Portisch, Lajos",2693,2525,2005.06.18,swiss,1-0,E04
243,"Wesley, George","Aronian, Levon",2786,2767,2018.05.27,,1/2-1/2,A13
244,"Caruana, Fabiano","Aronian, Levon",2822,2767,2018.07.24,,1/2-1/2,D02
245,"Aronian, Levon","Ghaem Maghami, Ehsan",2783,2585,2010.08.08,rapid,1-0,E00
246,"Nepomniachtchi, Ian","Aronian, Levon",2751,2789,2017.08.23,k.o. (blitz),1-0,C77
247,"Aronian, Levon","Kramnik, Vladimir",2802,2800,2011.11.17,tourn,1/2-1/2,D41
248,"Aronian, Levon","Vachier Lagrave, Maxime",2809,2791,2017.09.21,,1-0,A65
249,"Aronian, Levon","Giri, Anish",2767,2782,2018.09.20,,0-1,C42
250,"Meier, Georg","Aronian, Levon",2628,2763,2019.04.21,tourn,1/2-1/2,B52
251,"Duda, Jan Krzysztof","Aronian, Levon",2760,2772,2022.02.21,,0-1,D39
252,"Firouzja, Alireza","Aronian, Levon",2759,2782,2021.08.28,rapid,1/2-1/2,
253,"Karjakin, Sergey","Aronian, Levon",2732,2739,2008.03.16,tourn (rapid),1/2-1/2,C65
254,"Quang Liem, Le","Aronian, Levon",2708,2758,2019.09.20,,1/2-1/2,C88
255,"Aronian, Levon","Karjakin, Sergey",2777,2760,2015.02.14,,1/2-1/2,D47
256,"Aronian, Levon","Khachiyan, Melikset",,,1999.10.16,,1-0,A04
257,"Aronian, Levon","Jakovenko, Dmitry",2581,2570,2002.12.20,,1-0,D40
258,"Saric, Ivan","Aronian, Levon",2690,2767,2019.01.30,swiss,1/2-1/2,C50
259,"Markowski, Tomasz","Aronian, Levon",2538,2571,2002.06.24,match (rapid),1/2-1/2,D76
260,"Bacrot, Etienne","Aronian, Levon",2705,2757,2008.11.21,team-swiss,1/2-1/2,C89
261,"Radjabov, Teimour","Aronian, Levon",2784,2825,2012.06.17,,1/2-1/2,
262,"Mamedjarova, Zeinab","Aronian, Levon",2343,2645,2004.05.16,swiss,0-1,E14
263,"Dautov, Rustem","Aronian, Levon",2636,2584,2002.04.01,swiss,1/2-1/2,E15
264,"Aronian, Levon","Caruana, Fabiano",2801,2709,2010.11.17,,1-0,D18
265,"Aronian, Levon","So, Wesley",2809,2810,2017.08.08,tourn,1-0,D38
266,"Firouzja, Alireza","Aronian, Levon",2702,2758,2019.10.03,,1-0,C84
267,"Soppe, Guillermo","Aronian, Levon",2478,2610,2003.03.21,,1/2-1/2,D37
268,"Aronian, Levon","Movsesian, Sergei",2757,2732,2008.12.19,tourn,1/2-1/2,D15
269,"Bogdanovich, Stanislav","Aronian, Levon",,,2015.10.12,rapid,1/2-1/2,D39
270,"Aronian, Levon","Caruana, Fabiano",2752,2819,2019.06.13,,0-1,
271,"Bu, Xiangzhi","Aronian, Levon",2714,2757,2008.12.20,,1/2-1/2,D11
272,"Fridman, Daniel","Aronian, Levon",2542,2728,2021.12.26,rapid,1-0,
273,"Grischuk, Alexander","Aronian, Levon",2766,2767,2018.08.15,tourn (rapid),1-0,A11
274,"Kramnik, Vladimir","Aronian, Levon",2797,2816,2012.09.03,team-swiss,1-0,D10
275,"Grischuk, Arina","Aronian, Levon",2777,2773,2020.09.24,,1/2-1/2,A07
276,"Kramnik, Vladimir","Aronian, Levon",2759,2750,2009.03.21,tourn (rapid),1/2-1/2,D85
277,"Aronian, Levon","Wesley, George",2785,2794,2016.12.11,,1/2-1/2,A34
278,"Aronian, Levon","Agdestein, Simen",2815,2628,2014.06.03,tourn,1/2-1/2,E15
279,"Mamedyarov, Shakhriyar","Aronian, Levon",2782,2782,2021.08.31,rapid,0-1,
280,"Aronian, Levon","Nakamura, Hikaru",2792,2787,2016.06.20,tourn (blitz),1/2-1/2,E21
281,"Nakamura, Hikaru","Aronian, Levon",2613,2684,2005.01.30,,1/2-1/2,C89
282,"Aronian, Levon","Wojtaszek, Radoslaw",2765,2696,2022.05.22,blitz,1-0,B50
