,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
196,"Topalov, Veselin","Kramnik, Vladimir",2757,2754,2005.03.21,,1/2-1/2,E32
197,"Topalov, Veselin","Anand, Viswanathan",2783,2779,2007.02.17,tourn,1/2-1/2,E15
198,"Topalov, Veselin","Carlsen, Magnus",2754,2851,2016.04.20,tourn,1/2-1/2,D35
199,"Topalov, Veselin","Leko, Peter",2635,2465,1993.??.??,,1/2-1/2,A39
200,"Topalov, Veselin","Karpov, Anatoly",2725,2760,1997.??.??,tourn (rapid),1/2-1/2,A29
201,"Topalov, Veselin","Adams, Michael",2780,2726,2008.01.27,,1/2-1/2,C78
202,"Ponomariov, Ruslan","Topalov, Veselin",2695,2778,2005.05.16,tourn,1-0,E06
203,"Topalov, Veselin","Anand, Viswanathan",2718,2790,2001.01.22,tourn,1/2-1/2,C78
204,"Bareev, Evgeny","Topalov, Veselin",2725,2740,2003.??.??,,*,E34
205,"Topalov, Veselin","Tomashevsky, Evgeny",2784,2709,2013.06.07,tourn (rapid),1-0,C84
206,"Topalov, Veselin","Gelfand, Boris",2750,2665,1996.07.30,tourn,1/2-1/2,E97
207,"Topalov, Veselin","Movsesian, Sergei",2702,2668,2000.05.23,tourn,1/2-1/2,E94
208,"Na, Na","Topalov, Veselin",,,2005.10.04,tourn,0-1,C67
209,"Harikrishna, Pentala","Topalov, Veselin",2763,2754,2016.04.18,tourn (blitz),1-0,B13
210,"Vallejo Pons, Francisco","Topalov, Veselin",2663,2735,2004.02.28,tourn,1/2-1/2,B33
211,"Ivanchuk, Vassily","Topalov, Veselin",2751,2780,2008.03.27,tourn (rapid),1-0,B13
212,"Topalov, Veselin","Nakamura, Hikaru",2749,2780,2017.11.11,match (blitz),1/2-1/2,B80
213,"Topalov, Veselin","Antunes, Antonio",,,1992.??.??,,1/2-1/2,
214,"Sokolov, Ivan","Topalov, Veselin",2610,2700,1999.01.18,,1-0,B06
215,"Strikovic, Aleksa","Topalov, Veselin",,,1988.??.??,,0-1,B22
216,"Topalov, Veselin","Kasparov, Garry",2645,2805,1994.12.06,,1-0,B81
217,"Topalov, Veselin","Leko, Peter",2745,2722,2002.07.21,,1/2-1/2,E27
218,"Morovic Fernandez, Ivan","Topalov, Veselin",2535,2455,1991.??.??,,1/2-1/2,B25
219,"Na, Na","Topalov, Veselin",,,1988.??.??,,0-1,B92
220,"Topalov, Veselin","Gashimov, Vugar",2803,2719,2010.10.20,,1/2-1/2,D16
221,"Topalov, Veselin","Wojtaszek, Radoslaw",2772,2735,2014.08.12,team-swiss,1-0,B90
222,"Roa Alonso, Santiago","Topalov, Veselin",2358,2707,2000.08.19,rapid,0-1,A75
223,"Topalov, Veselin","Carlsen, Magnus",2761,2855,2016.06.19,tourn (blitz),0-1,B90
224,"Topalov, Veselin","Karpova, Anna",2750,2775,1996.08.13,,1/2-1/2,A17
225,"Gelfand, Boris","Topalov, Veselin",2738,2752,2012.07.09,blitz,1/2-1/2,A28
226,"Caruana, Fabiano","Topalov, Veselin",2804,2761,2016.06.19,tourn (blitz),0-1,B90
227,"Yermolinsky, Alex","Topalov, Veselin",2597,2700,1999.01.18,,0-1,D59
228,"Topalov, Veselin","Shakirov, A.",2733,2706,2001.12.05,,1/2-1/2,C42
229,"Topalov, Veselin","Polgar, Judit",2725,2645,1997.02.05,tourn,1/2-1/2,B48
230,"Dominguez Perez, Leinier","Topalov, Veselin",2739,2740,2019.02.20,match (rapid),1/2-1/2,C45
231,"Topalov, Veselin","Kasparov, Garry",2725,2795,1997.06.12,,1/2-1/2,B97
232,"Topalov, Veselin","Ivanchuk, Vassily",2718,2717,2001.03.24,rapid,1/2-1/2,C92
233,"Topalov, Veselin","Karpov, Anatoly",2750,2775,1996.08.15,,1/2-1/2,A17
234,"Topalov, Veselin","Yermolinsky, Alex",2750,2610,1996.09.28,team-swiss,1/2-1/2,D67
235,"Bluvshtein, Mark","Topalov, Veselin",2583,2803,2010.09.28,team-swiss,1-0,E90
236,"Topalov, Veselin","Dreev, Aleksey",2700,2670,1996.04.28,,0-1,C13
237,"Dorfman, Iossif","Topalov, Veselin",2605,2460,1992.??.??,tourn,1/2-1/2,E68
238,"Felix Junior, Marcelo Jose","Topalov, Veselin",,,1992.??.??,,0-1,E80
239,"Topalov, Veselin","Nakamura, Hikaru",2749,2780,2017.11.11,match (blitz),0-1,D37
240,"Topalov, Veselin","Polgar, Judit",2635,2595,1993.??.??,,1-0,B81
241,"Topalov, Veselin","Van Wely, Loek",2702,2646,2000.03.26,rapid,1/2-1/2,B80
242,"Topalov, Veselin","Skembris, Spyridon",2520,2520,1992.??.??,,1/2-1/2,C47
243,"Topalov, Veselin","Mamedyarov, Shakhriyar",2780,2760,2008.01.25,,1/2-1/2,E92
244,"Iordachescu, Viorel","Topalov, Veselin",2614,2774,2013.11.02,tourn (rapid),1/2-1/2,B51
245,"Shakirov, A.","Topalov, Veselin",2685,2750,1996.08.13,,0-1,E92
246,"Arenas, David","Topalov, Veselin",2490,2768,2016.09.06,,0-1,B22
247,"Bareev, Evgeny","Topalov, Veselin",2726,2745,2002.07.15,match,1-0,E97
248,"Topalov, Veselin","Massoni, Michael",2757,,2004.10.25,tourn (blitz),1-0,A39
249,"Kamsky, Gata","Topalov, Veselin",2725,2796,2009.02.24,match,1/2-1/2,B12
