,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
157,"Vachier Lagrave, Maxime","Wei, Yi",2774,2721,2019.09.03,,1-0,A10,1.23
158,"Vachier Lagrave, Maxime","Aronian, Levon",2804,2799,2017.09.21,,1/2-1/2,C77,6.6
159,"Kramnik, Vladimir","Vachier Lagrave, Maxime",2808,2796,2017.07.01,tourn (blitz),1-0,D03,6
160,"Wei, Yi","Vachier Lagrave, Maxime",2721,2723,2015.06.14,k.o. (rapid),1-0,B35,2.3
161,"Kokarev, Dmitry","Vachier Lagrave, Maxime",2615,2789,2017.12.28,swiss (rapid),1/2-1/2,B53,13.9
162,"Vachier Lagrave, Maxime","Giri, Anish",2763,2777,2021.10.03,,1/2-1/2,C43,8.4
163,"Giri, Anish","Vachier Lagrave, Maxime",2782,2789,2016.06.20,tourn (blitz),1/2-1/2,A16,17
164,"Holt, Conrad","Vachier Lagrave, Maxime",2549,2778,2020.08.04,,0-1,D43,5
165,"Vachier Lagrave, Maxime","Nepomniachtchi, Ian",2860,2778,2020.12.26,,0-1,,4.1
166,"Vachier Lagrave, Maxime","Tregubov, Pavel V",2458,2636,2004.07.07,swiss,1/2-1/2,B51,5
167,"Vachier Lagrave, Maxime","Caruana, Fabiano",2766,2791,2021.11.29,,0-1,E06,1.32
168,"Duda, Jan Krzysztof","Vachier Lagrave, Maxime",2731,2775,2019.03.23,,0-1,E60,12.1
169,"Vachier Lagrave, Maxime","Aronian, Levon",2796,2793,2017.07.01,tourn (blitz),1-0,C77,1
170,"Caruana, Fabiano","Vachier Lagrave, Maxime",2807,2819,2016.08.09,,1/2-1/2,B54,5
171,"Vachier Lagrave, Maxime","Wagner, Claude",2488,2375,2005.02.05,,1/2-1/2,B45,2
172,"Vachier Lagrave, Maxime","Mamedyarov, Shakhriyar",2783,2784,2017.06.25,tourn (rapid),1-0,B11,15
173,"Carlsen, Magnus","Vachier Lagrave, Maxime",2834,2773,2015.12.13,k.o. (rapid),1-0,B52,2.1
174,"Vachier Lagrave, Maxime","Shchekachev, Andrei",2595,2541,2007.07.10,,1-0,C99,4
175,"Nepomniachtchi, Ian","Vachier Lagrave, Maxime",2773,2750,2022.05.09,,1/2-1/2,,5
176,"Carlsen, Magnus","Vachier Lagrave, Maxime",2863,2765,2015.04.21,tourn,1-0,A05,5
177,"Vachier Lagrave, Maxime","Kasparov, Garry",2763,2812,2021.09.10,,1-0,,?
178,"Safarli, Eltaj","Vachier Lagrave, Maxime",2657,2758,2015.10.10,rapid,0-1,B90,3.15
179,"Vachier Lagrave, Maxime","Meier, Georg",2789,2648,2018.04.09,,1/2-1/2,A06,9
180,"Giri, Anish","Vachier Lagrave, Maxime",2764,2778,2020.04.19,,0-1,D43,1.2
181,"Vachier Lagrave, Maxime","Jakovenko, Dmitry",2774,2681,2019.09.18,,1-0,C53,3.4
182,"Topalov, Veselin","Vachier Lagrave, Maxime",2761,2819,2016.08.07,tourn,1/2-1/2,B90,3
183,"Vachier Lagrave, Maxime","Wesley, George",2744,2773,2015.09.20,,1/2-1/2,C67,4
184,"Caruana, Fabiano","Vachier Lagrave, Maxime",2801,2768,2014.08.28,tourn,1-0,B12,2
185,"Vachier Lagrave, Maxime","Bindrich, Falko",2187,,2000.10.17,,1-0,B31,6
186,"Vachier Lagrave, Maxime","Firouzja, Alireza",2760,2759,2021.06.20,blitz,1-0,,9.5
187,"Hammer, Jon Ludvig","Vachier Lagrave, Maxime",2628,2770,2020.01.15,,0-1,A10,2
188,"Vachier Lagrave, Maxime","So, W.",2778,2770,2020.06.08,,1-0,A06,1.9
189,"Vachier Lagrave, Maxime","Nepomniachtchi, Ian",2791,2742,2017.08.11,tourn,1-0,B92,9
190,"Vachier Lagrave, Maxime","Navara, David",2758,2693,2022.04.23,,0-1,C65,7
191,"Chazot, Jean Marc","Vachier Lagrave, Maxime",,2682,2012.04.28,,0-1,D80,1
192,"Vachier Lagrave, Maxime","So, W.",2774,2767,2019.11.19,,0-1,A35,2.7
193,"Rapport, Richard","Vachier Lagrave, Maxime",2763,2760,2021.06.19,rapid,1/2-1/2,D02,5.4
194,"Vachier Lagrave, Maxime","Naiditsch, Arkadij",2803,2702,2017.04.15,tourn,0-1,C11,1
195,"So, Wesley","Vachier Lagrave, Maxime",2770,2778,2020.06.08,,1-0,B00,1.12
196,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2784,2736,2020.10.20,,1/2-1/2,A45,8
197,"Preotu, Razvan","Vachier Lagrave, Maxime",2487,2778,2020.05.26,,0-1,B11,3
198,"Vachier Lagrave, Maxime","Dubov, Daniil",2766,2714,2021.11.20,,1/2-1/2,C55,8.2
199,"Caruana, Fabiano","Vachier Lagrave, Maxime",2795,2788,2016.05.10,match (blitz),0-1,B52,11
200,"Artemiev, Vladislav","Vachier Lagrave, Maxime",2700,2761,2021.12.30,blitz,1/2-1/2,A07,20.3
201,"Felgaer, Ruben Alejandro","Vachier Lagrave, Maxime",2557,2713,2013.01.27,swiss,1/2-1/2,B23,6
202,"Vachier Lagrave, Maxime","Acher, Mathieu",2573,2358,2007.02.09,,1/2-1/2,C77,1
203,"Vachier Lagrave, Maxime","Ponkratov, Pavel",2763,2659,2021.11.01,,0-1,,6
204,"Arvind, C.J.","Vachier Lagrave, Maxime",2124,2778,2020.07.14,,0-1,A41,2
205,"Adams, Michael","Vachier Lagrave, Maxime",2740,2731,2015.07.22,swiss,0-1,B51,3
206,"Aronian, Levon","Vachier Lagrave, Maxime",2758,2774,2019.09.25,,1/2-1/2,A04,5.3
207,"Vachier Lagrave, Maxime","Istratescu, Andrei",2722,2651,2013.03.09,swiss (rapid),1/2-1/2,B52,6
208,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2822,2900,2020.12.12,,1/2-1/2,,2.2
209,"Caruana, Fabiano","Vachier Lagrave, Maxime",2819,2779,2019.06.05,,1-0,,3.4
210,"Berczes, David","Vachier Lagrave, Maxime",2513,2696,2009.02.01,swiss,1/2-1/2,D85,6.8
211,"Vachier Lagrave, Maxime","Papaioannou, Ioannis",2742,2639,2013.11.14,team-swiss,1-0,B01,6.1
212,"Vachier Lagrave, Maxime","Li, Haoyu",,,2001.10.??,,1/2-1/2,B07,6
213,"Vachier Lagrave, Maxime","Aronian, Levon",2822,2739,2020.12.02,,1/2-1/2,,1.7
214,"So, Wesley","Vachier Lagrave, Maxime",2789,2783,2017.06.28,tourn (blitz),1/2-1/2,D85,2
215,"Vachier Lagrave, Maxime","Grischuk, Alexander",2710,2752,2011.12.14,swiss (rapid),1-0,B12,1
216,"Karjakin, Sergey","Vachier Lagrave, Maxime",2773,2779,2018.08.27,tourn,1/2-1/2,D87,9
217,"Vachier Lagrave, Maxime","Ivanchuk, Vassily",2794,2732,2018.02.24,team-tourn,1/2-1/2,B11,9.1
218,"Vachier Lagrave, Maxime","Vila Gazquez, Xavier",2527,2338,????.??.??,,1-0,,7.2
219,"Ghaem Maghami, Ehsan","Vachier Lagrave, Maxime",2572,2711,2012.12.22,team-k.o.,1/2-1/2,B52,1.5
220,"Vachier Lagrave, Maxime","Bologan, Victor",2710,2665,2011.11.23,,1/2-1/2,A35,3
221,"Vachier Lagrave, Maxime","Gordon, Stephen J",2699,2535,2012.01.15,,1/2-1/2,,4.12
222,"Nihal, Sarin","Vachier Lagrave, Maxime",2657,2822,2020.11.01,,1-0,,3.4
223,"Andriasian, Zaven","Vachier Lagrave, Maxime",2603,2780,2018.09.08,,0-1,B26,1
224,"Marchenko, Stanislav","Vachier Lagrave, Maxime",,,1999.10.28,,0-1,B38,5
225,"Vachier Lagrave, Maxime","Dominguez, Jose Manuel",2716,2345,2008.11.16,team-swiss,1-0,C40,4
226,"Grischuk, Alexander","Vachier Lagrave, Maxime",2752,2710,2011.12.09,swiss (rapid),1/2-1/2,D74,1
227,"Vachier Lagrave, Maxime","Roiz, Michael",2686,2615,2012.07.26,,1/2-1/2,C69,4
228,"Hess, Robert","Vachier Lagrave, Maxime",2572,2715,2011.02.13,swiss,0-1,E94,6
229,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2736,2763,2021.10.02,,1/2-1/2,E60,7.2
230,"Vachier Lagrave, Maxime","Lietard, Gilles",2186,1580,2000.04.21,swiss,1-0,C29,1.4
231,"So, Wesley","Vachier Lagrave, Maxime",2762,2757,2015.01.20,tourn,1/2-1/2,D87,9
232,"Vachier Lagrave, Maxime","Aronian, Levon",2822,2739,2020.12.02,,1/2-1/2,,2.1
233,"Vachier Lagrave, Maxime","Jobava, Baadur",2757,2717,2014.10.28,tourn,1/2-1/2,B12,7
234,"Alekseenko, Kirill","Vachier Lagrave, Maxime",2696,2778,2020.08.04,,0-1,A45,8
235,"Aronian, Levon","Vachier Lagrave, Maxime",2739,2822,2020.12.02,,1-0,,3.6
236,"Xiong, Jeffery","Vachier Lagrave, Maxime",2652,2795,2017.08.30,k.o. (blitz),0-1,A00,1.27
237,"Tomashevsky, Evgeny","Vachier Lagrave, Maxime",2696,2795,2017.05.20,,1/2-1/2,D80,8.5
238,"Vachier Lagrave, Maxime","Kosteniuk, Alexandra",2632,2523,2008.07.02,swiss,1-0,C89,5
239,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2900,2822,2020.12.12,,0-1,,2.5
240,"Vachier Lagrave, Maxime","Anand, Viswanathan",2779,2768,2018.08.11,tourn (rapid),1-0,C67,2
241,"Vachier Lagrave, Maxime","Caruana, Fabiano",2754,2803,2015.05.17,tourn,0-1,D38,4
242,"Fressinet, Laurent","Vachier Lagrave, Maxime",2693,2682,2012.04.29,k.o. (rapid),0-1,D80,3.3
