,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
239,"Duda, Jan Krzysztof","Van Foreest, Jorden",2760,2702,2022.01.29,,1/2-1/2,D43,12.6
240,"Anurag, Mhamal","Duda, Jan Krzysztof",2442,2599,2014.10.15,,0-1,D00,9.11
241,"Duda, Jan Krzysztof","Nakamura, Hikaru",2731,2749,2019.02.23,match (blitz),0-1,A18,3.2
242,"Markowski, Tomasz","Duda, Jan Krzysztof",2566,2563,2014.03.28,tourn,0-1,D30,4
243,"Carlsen, Magnus","Duda, Jan Krzysztof",2855,2756,????.??.??,,1/2-1/2,,1
244,"Kuzubov, Yuriy","Duda, Jan Krzysztof",2699,2717,2017.12.29,blitz,1/2-1/2,A05,10.34
245,"Henriquez Villagra, Cristobal","Duda, Jan Krzysztof",2587,2730,2019.09.11,,1/2-1/2,C42,1.2
246,"Duda, Jan Krzysztof","Szewczak, Andrzej",2274,2005,2011.07.14,swiss,1-0,C78,1
247,"Duda, Jan Krzysztof","Giri, Anish",2738,2783,2019.01.18,tourn,0-1,C44,6
248,"Tari, Aryan","Duda, Jan Krzysztof",2633,2757,2020.10.08,,1/2-1/2,B23,4.3
249,"Duda, Jan Krzysztof","Lehmann, Dominik",2013,,2008.10.20,swiss,1-0,B76,1
250,"Le Tuan, Minh","Duda, Jan Krzysztof",2501,2753,2020.10.25,,1-0,B08,1
