,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
166,"Rapport, Richard","Balogh, Csaba",2531,2604,2011.01.06,match,0-1,D19,3
167,"Rapport, Richard","Ding, Liren",2759,2791,2020.12.07,,1/2-1/2,A22,8.2
168,"Rapport, Richard","Ding, Liren",2726,2809,2019.04.23,tourn,1/2-1/2,C47,6
169,"Rapport, Richard","Sarana, Alexey",2763,2656,2021.11.10,,1-0,B00,1.44
170,"Rapport, Richard","Bu, Xiangzhi",2600,2688,2017.12.30,blitz,*,,20.11
171,"Rapport, Richard","Prohaszka, Peter",2444,2501,2010.02.26,,1/2-1/2,D11,5.1
172,"Shankland, Samuel L","Rapport, Richard",2731,2735,2019.02.22,match (rapid),0-1,C10,10.5
173,"Sarana, Alexey","Rapport, Richard",2656,2763,2021.11.10,,1-0,E61,1.18
174,"Rapport, Richard","Berkes, Ferenc",2700,2662,2018.01.06,swiss,1/2-1/2,E16,7
175,"Garcia Jimenez, Francisco Javier","Rapport, Richard",2274,2531,2011.01.25,swiss,0-1,B26,1
176,"Kjartansson, Gudmundur","Rapport, Richard",2446,2720,2016.03.10,tourn,0-1,D36,4
177,"Rapport, Richard","Varga, Zoltan",2444,2485,2010.02.08,,1-0,D27,3
178,"Rapport, Richard","Wei, Yi",,,2016.12.23,,0-1,,5
179,"Petenyi, Tamas","Rapport, Richard",2251,2323,2008.10.28,team-swiss,1-0,B67,3.6
180,"Rapport, Richard","Shankland, Samuel L",2735,2731,2019.02.24,match (blitz),1-0,D00,15.5
181,"Rapport, Richard","Aronian, Levon",2676,2795,2014.04.04,team-tourn,1/2-1/2,A25,13.1
182,"Qu, Yanqiao","Rapport, Richard",2007,2275,2008.07.14,tourn,0-1,B26,10
183,"Rapport, Richard","Meszaros, Tamas",2197,2442,2007.11.11,team,1/2-1/2,C83,2
184,"Rapport, Richard","Wang, Hao",2674,2688,2019.05.18,blitz,1/2-1/2,,17.2
185,"Rapport, Richard","Kravtsiv, Martyn",2719,2654,2018.08.11,swiss,1/2-1/2,C54,5
186,"Rapport, Richard","Gurevich, Alexander Y",2696,2577,2017.04.16,,1-0,C02,6.3
187,"Rapport, Richard","Szabo, Leon",2323,2223,2009.02.21,team-tourn,0-1,D15,9
188,"Urkedal, Frode Olav Olsen","Rapport, Richard",2473,2605,2012.08.06,swiss,0-1,D14,5
189,"Rapport, Richard","Naiditsch, Arkadij",2676,2710,2014.02.16,team-tourn,0-1,A46,5
190,"Xu, Jiarui","Rapport, Richard",2430,2717,2016.12.13,,1/2-1/2,B00,6.9
191,"Rapport, Richard","Ladva, Ottomar",2709,2410,2015.03.07,swiss,1-0,A01,3
192,"Rapport, Richard","Andreikin, Dmitry",2736,2722,2019.05.17,blitz,1/2-1/2,A01,3.2
