,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
210,"Zvjaginsev, Vadim","Andreikin, Dmitry",2643,2708,2017.10.02,swiss (blitz),1-0,C00,13
211,"Lenderman, Aleksandr","Andreikin, Dmitry",2637,2725,2019.03.12,team-tourn,1/2-1/2,E17,7.3
212,"Tomczak, Jacek","Andreikin, Dmitry",2451,2604,2008.08.05,,1/2-1/2,C10,4.12
213,"Kuzmin, Gennadi P","Andreikin, Dmitry",2518,2449,2004.10.??,tourn,1/2-1/2,B47,10
214,"Andreikin, Dmitry","Shubin, Kirill",2725,2481,2021.05.01,,1-0,,1.1
215,"Andreikin, Dmitry","Swiercz, Dariusz",2650,2492,2010.08.10,,1-0,A37,7
216,"Andreikin, Dmitry","Edouard, Romain",2451,2212,2004.11.06,swiss,1-0,B32,3
217,"Albornoz Cabrera, Carlos Daniel","Andreikin, Dmitry",2573,2726,2020.07.07,,0-1,B48,8
218,"Andreikin, Dmitry","Obregon Rivero, Juan Carlos",2725,2520,2021.04.03,,0-1,B38,?
219,"Zarnicki, Pablo Adrian","Andreikin, Dmitry",2514,2724,2022.02.08,,0-1,B40,1
220,"Seo, Jung Min","Andreikin, Dmitry",2455,2726,2020.09.29,,0-1,A16,7
221,"Andreikin, Dmitry","Indjic, Aleksandar",2725,2607,2021.02.12,blitz,0-1,A45,12
222,"Andreikin, Dmitry","Korobov, Anton",2712,2652,2017.12.12,tourn (blitz),1-0,D11,10.1
223,"Andreikin, Dmitry","Petrosyan, Movses",2725,2625,2021.04.03,,0-1,E32,?
224,"Andreikin, Dmitry",Nihal Sarin,2734,2424,2017.04.26,swiss,1/2-1/2,B10,9.13
225,"Andreikin, Dmitry","Tang, Andrew",2729,2508,2022.05.03,,0-1,D31,9
226,"Andreikin, Dmitry","Nakamura, Hikaru",2722,2764,2014.10.22,tourn,1/2-1/2,C78,2
227,"Kamsky, Gata","Andreikin, Dmitry",2662,2728,2021.09.21,,1/2-1/2,D00,7
228,"Andreikin, Dmitry","Kovalev, Vladislav",2725,2637,2021.05.18,,1-0,E71,6
229,"Andreikin, Dmitry","Gupta, Anu",2724,2628,2022.02.22,,1-0,D07,11
230,"Andreikin, Dmitry","Cheparinov, Ivan",2720,2681,2015.10.13,blitz,1-0,A00,7.6
231,"Yudin, Sergei","Andreikin, Dmitry",2524,2723,2015.05.10,team-swiss (blitz),0-1,A01,9.5
232,"Andreikin, Dmitry","Horvath, Dominik",2725,2446,2020.12.01,,1-0,C45,4
233,"Andreikin, Dmitry","Bologan, Victor",2635,2692,2010.02.04,,1/2-1/2,A45,6
234,"Andreikin, Dmitry","Iljushin, Alexei",2603,2564,2008.12.18,swiss,1-0,B72,6
235,"Clarke, Brian","Andreikin, Dmitry",2445,2729,2022.05.10,,0-1,B48,8
236,"Andreikin, Dmitry","Yarysh, Grigorij",,,1999.??.??,,1-0,C41,5
237,"Andreikin, Dmitry","Karjakin, Sergey",2715,2785,2012.08.11,,1/2-1/2,C68,8
238,"Kamsky, Gata","Andreikin, Dmitry",2705,2509,2007.01.22,match (blitz),1-0,E12,?
239,"Andreikin, Dmitry","Leon Hoyos, Manuel",2659,2516,2009.10.26,,1-0,E35,6
240,"Andreikin, Dmitry","Chilov, Alexandros",2217,2268,2001.01.06,,1-0,B32,9
241,"Kovalev, Vitaly","Andreikin, Dmitry",2623,2729,2022.04.02,rapid,0-1,B40,8
242,"Andreikin, Dmitry","Zvjaginsev, Vadim",2580,2674,2008.04.09,,1/2-1/2,C49,7
243,"Andreikin, Dmitry","Papasimakopoulos, Alexandros",2728,2248,2021.10.26,,1-0,C15,4
244,"Volkov, Sergey","Andreikin, Dmitry",2628,2503,2006.10.21,k.o. (blitz),1/2-1/2,E91,3.4
245,"Mueller, Reinhold","Andreikin, Dmitry",,2400,2003.08.08,tourn,0-1,E21,6
246,"Grischuk, Alexander","Andreikin, Dmitry",2810,2737,2015.02.16,k.o.,1/2-1/2,D35,2
247,"Azarov, Sergei Nikolaevich","Andreikin, Dmitry",2648,2705,2011.09.30,team-swiss,1-0,B11,6
248,"Andreikin, Dmitry","Bachmann, Axel",2724,2594,2022.02.22,,1-0,E11,8
249,"Kamsky, Gata","Andreikin, Dmitry",2661,2729,2022.04.12,,0-1,A43,10
250,"Andreikin, Dmitry","Riazantsev, Alexander",2713,2708,2013.06.09,,0-1,A07,8.16
251,"Vitiugov, Nikita","Andreikin, Dmitry",2747,2724,2019.12.27,rapid,1/2-1/2,D56,8.17
252,"Rublevsky, Sergei","Andreikin, Dmitry",2695,2713,2013.06.09,,1-0,C45,15.9
253,"Mamedyarov, Shakhriyar","Andreikin, Dmitry",2726,2700,2012.07.09,blitz,1/2-1/2,A07,15
254,Wagh Suyog,"Andreikin, Dmitry",2246,2725,2021.04.20,,0-1,D35,2
255,"Volke, K.","Andreikin, Dmitry",2448,2705,2011.09.26,,0-1,A56,2.3
256,"Andreikin, Dmitry","Timofeev, Artyom",2724,2574,2022.02.08,,1-0,D27,9
257,"Andreikin, Dmitry","Kalugin, Sergei",2472,2454,2005.02.04,team,1-0,B56,2
258,"Ehlvest, Jaan","Andreikin, Dmitry",2524,2736,2016.06.19,,0-1,A04,21
259,"Andreikin, Dmitry","Goganov, Aleksey",2706,2586,2017.09.03,k.o.,1/2-1/2,D10,1.1
260,"Ponomariov, Ruslan","Andreikin, Dmitry",2744,2683,2010.11.17,,0-1,A45,27.4
